code,main_author,n_entries,n_datasets
ORCA,Joaquim Jornet-somoza,43635,0
ORCA,Ask Hjorth Larsen,38874,0
ORCA,Markus Schneider,7420,0
ORCA,Thorren Kirschbaum,5089,0
ORCA,Esma Boydas,576,0
ORCA,Stefan Zahn,390,0
ORCA,Shayantan Chaudhuri,248,0
ORCA,Martin Lea,233,0
ORCA,Florian Kreuter,228,0
ORCA,Max Pinheiro Jr,151,0
ORCA,Haitao Zhang,112,0
ORCA,Mostafa Tavakoli,106,0
ORCA,Lucas Welington De Lima,104,0
ORCA,Maria Von einem,34,0
ORCA,Akseli Mansikkamäki,13,0
ORCA,Jan-Niclas Luy,9,0
ORCA,Daniel Reta,6,0
ORCA,Satadal Paul,2,0
ORCA,Jungho Shin,1,0
ORCA,Markus Scheidgen,1,0
ORCA,Tamas K Stenczel,1,0
